brand, product_name, current_price
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Edition 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810D-10P,₹ 51,939
ZOTAC,ZOTAC GAMING GeForce RTX 2080 Blower 8GB GDDR6 256-bit Gaming Graphics Card| Metal Backplate (ZT-T20800A-10P),₹ 56,561 (2 Offers)

–
ZOTAC,ZOTAC GAMING GeForce RTX 2080 AMP 8GB GDDR6 256-bit Gaming Graphics Card| Active Fan Control| Metal Backplate| Spectra Lighting (ZT-T20800D-10P),₹ 60,969 (3 Offers)

–
ZOTAC,ZOTAC GAMING GeForce RTX 2070 AMP Extreme 8GB GDDR6 256-bit Graphics Card| IceStorm 2.0| Active Fan Control| Metal Wraparound Backplate| Spectra RGB LED Lighting (ZT-T20700B-10P),₹ 48,481 (2 Offers)

–
PNY Technologies, Inc.,PNY GeForce GTX 1060 Graphic Card VCGGTX10606PB-CG 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,₹ 19,098 (3 Offers)

–
PNY Technologies, Inc.,PNY GeForce RTX 2080 8GB XLR8 Gaming Overclocked Edition Graphics Card,₹ 58,765
ZOTAC,ZOTAC GAMING GeForce RTX 2070 AMP Extreme Core 8GB GDDR6 256-bit Graphics Card| IceStorm 2.0| Active Fan Control| Metal Wraparound Backplate| Spectra RGB LED Lighting (ZT-T20700C-10P),₹ 46,277
Diamond Multimedia,Diamond Multimedia AMD Radeon 8GB GDDR5 Memory PCI-E Graphics Card,₹ 26,537 (2 Offers)

–
Sapphire Tech,Sapphire VCX 11256-57-21G Radeon RX 470 8GB GDDR5 PCI-E DVI-D Quad Firmware Graphics Card - Brown Box,₹ 25,974 (2 Offers)

–
ZOTAC,ZOTAC GeForce GTX 1080 Mini| ZT-P10800H-10P| 8GB GDDR5X IceStorm Cooling| Dual Fans| 90mm Pressure Optimized Fan| 100mm Maximum Airflow Optimized Fan| Direct GPU Copper Block Contact| Metal Back Plate,₹ 35,037 (4 Offers)

–
EVGA,EVGA GeForce GTX 1050 Ti GAMING| 04G-P4-6251-KR| 4GB GDDR5| DX12 OSD Support (PXOC),₹ 12,482 (4 Offers)

–
EVGA,EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition| 08G-P4-5173-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),
XFX,XFX Radeon RX Vega 56 8GB HBM2 PCI Express 3.0 Double Dissipation Cooling Graphic Card RX-VEGALDFF6,₹ 34,681
AMD,AMD Radeon RX 580 8GB GDDR5 PCI Express 3.0 Gaming Graphics Card - OEM,₹ 29,300
ASUS,ASUS DUAL RTX 2080 Overclocked Edition 8GB VR Ready Gaming Graphics Card - Turing Architecture (DUAL-RTX2080-O8G),₹ 64,123 (3 Offers)

–
EVGA,6 Packs of EVGA - NVIDIA GeForce GTX 1060 6144MB GDDR5 PCI Express 3.0 Graphics Cards - Black (06G-P4-6264-KB),₹ 263,899
VisionTek,VisionTek Radeon 4350 512MB DDR2 (DVI-I| HDMI| VGA) Graphics Card - 900270,₹ 3,003 (2 Offers)

–
